estacio,data,contaminant,unitats,latitud,longitud,valor,
Ciutadella,2022-02-20,NO2,xc2xb5gm3,41.386406,2.1873982,24.0000000000000000,
Ciutadella,2022-02-21,NO2,xc2xb5gm3,41.386406,2.1873982,36.1666666666666667,
Ciutadella,2022-02-22,NO2,xc2xb5gm3,41.386406,2.1873982,31.8333333333333333,
Ciutadella,2022-02-23,NO2,xc2xb5gm3,41.386406,2.1873982,41.0416666666666667,
Ciutadella,2022-02-24,NO2,xc2xb5gm3,41.386406,2.1873982,41.2083333333333333,
Ciutadella,2022-02-25,NO2,xc2xb5gm3,41.386406,2.1873982,39.2083333333333333,
Ciutadella,2022-02-26,NO2,xc2xb5gm3,41.386406,2.1873982,14.9166666666666667,
Ciutadella,2022-02-27,NO2,xc2xb5gm3,41.386406,2.1873982,29.6666666666666667,
Ciutadella,2022-02-28,NO2,xc2xb5gm3,41.386406,2.1873982,32.2916666666666667,
Ciutadella,2022-03-01,NO2,xc2xb5gm3,41.386406,2.1873982,30.0454545454545455,
Ciutadella,2022-03-02,NO2,xc2xb5gm3,41.386406,2.1873982,48.2916666666666667,
Ciutadella,2022-03-03,NO2,xc2xb5gm3,41.386406,2.1873982,30.4583333333333333,
Ciutadella,2022-03-04,NO2,xc2xb5gm3,41.386406,2.1873982,52.6666666666666667,
Ciutadella,2022-03-05,NO2,xc2xb5gm3,41.386406,2.1873982,26.0000000000000000,
Ciutadella,2022-03-06,NO2,xc2xb5gm3,41.386406,2.1873982,14.9583333333333333,
Ciutadella,2022-03-07,NO2,xc2xb5gm3,41.386406,2.1873982,24.3750000000000000,
Ciutadella,2022-03-08,NO2,xc2xb5gm3,41.386406,2.1873982,49.0833333333333333,
Ciutadella,2022-03-09,NO2,xc2xb5gm3,41.386406,2.1873982,35.3333333333333333,
Ciutadella,2022-03-10,NO2,xc2xb5gm3,41.386406,2.1873982,42.0000000000000000,
Ciutadella,2022-03-11,NO2,xc2xb5gm3,41.386406,2.1873982,33.9166666666666667,
Ciutadella,2022-03-12,NO2,xc2xb5gm3,41.386406,2.1873982,19.2083333333333333,
Ciutadella,2022-03-13,NO2,xc2xb5gm3,41.386406,2.1873982,28.4166666666666667,
